Date,Open,High,Low,Close
"Sep 14, 2020",126.98,140,124.43,139.87
"Sep 15, 2020",145.52,153.98,143.57,149.92
"Sep 16, 2020",146.62,152.6,145.1,147.25
"Sep 17, 2020",138.53,145.93,136,141.14
"Sep 18, 2020",149.31,150.33,142.93,147.38
"Sep 21, 2020",151.04,151.89,135.69,149.8
"Sep 22, 2020",143.2,145.92,139.2,141.41
"Sep 23, 2020",135.05,137.38,125.29,126.79
"Sep 24, 2020",121.27,133.17,117.1,129.26
"Sep 25, 2020",131.16,136.24,130.43,135.78
"Sep 28, 2020",141.54,142.69,138.52,140.4
"Sep 29, 2020",138.67,142.83,137.2,139.69
"Sep 30, 2020",140.44,144.64,140.16,143
"Oct 1, 2020",146.92,149.63,144.81,149.39
"Oct 2, 2020",140.46,146.38,138.33,138.36
"Oct 5, 2020",141.12,144.55,139.78,141.89
"Oct 6, 2020",141.26,142.93,135.35,137.99
"Oct 7, 2020",139.96,143.3,137.95,141.77
"Oct 8, 2020",146.15,146.33,141.77,141.97
"Oct 9, 2020",143.38,144.86,142.15,144.67
"Oct 12, 2020",147.33,149.58,146.19,147.43
"Oct 13, 2020",147.78,149.63,145.53,148.88
"Oct 14, 2020",149.93,155.3,149.12,153.77
"Oct 15, 2020",150.1,152.19,147.5,149.63
"Oct 16, 2020",151.48,151.98,146.28,146.56
"Oct 19, 2020",148.75,149,142.96,143.61
"Oct 20, 2020",143.92,143.92,139.68,140.65
"Oct 21, 2020",140.9,144.32,140.42,140.88
"Oct 22, 2020",147.31,148.41,141.5,141.93
"Oct 23, 2020",140.61,140.96,135.79,140.21
"Oct 26, 2020",137.21,141.92,136.67,140.09
"Oct 27, 2020",141.25,143.5,140.03,141.56
"Oct 28, 2020",138.83,139.53,135.33,135.34
"Oct 29, 2020",136.65,139.35,135.49,136.94
"Oct 30, 2020",135.63,135.86,126.37,129.35
"Nov 2, 2020",131.33,135.66,130.77,133.5
"Nov 3, 2020",136.58,142.59,135.56,141.3
"Nov 4, 2020",143.54,145.13,139.03,140.33
"Nov 5, 2020",142.77,146.67,141.33,146.03
"Nov 6, 2020",145.37,145.52,141.43,143.32
"Nov 9, 2020",146.5,150.83,140.33,140.42
"Nov 10, 2020",140.03,140.03,132.01,136.79
"Nov 11, 2020",138.82,139.57,136.86,139.04
"Nov 12, 2020",138.35,141,136.51,137.25
"Nov 13, 2020",136.95,137.51,133.89,136.17
"Nov 16, 2020",136.31,137.48,134.7,136.03
"Nov 17, 2020",153.39,154,144.34,147.2
"Nov 18, 2020",149.45,165.33,147.83,162.21
"Nov 19, 2020",164,169.54,162.52,166.42
"Nov 20, 2020",166,167.5,163.02,163.2
"Nov 23, 2020",167.83,175.33,167.26,173.95
"Nov 24, 2020",180.13,186.66,175.4,185.13
"Nov 25, 2020",183.35,191.33,181.79,191.33
"Nov 27, 2020",193.72,199.59,192.82,195.25
"Nov 30, 2020",200.74,202.6,184.84,189.2
"Dec 1, 2020",199.2,199.28,190.68,194.92
"Dec 2, 2020",185.48,190.51,180.4,189.61
"Dec 3, 2020",196.67,199.66,194.14,197.79
"Dec 4, 2020",197,199.68,195.17,199.68
"Dec 7, 2020",201.64,216.26,201.02,213.92
"Dec 8, 2020",208.5,217.09,206.17,216.63
"Dec 9, 2020",217.9,218.11,196,201.49
"Dec 10, 2020",191.46,209.25,188.78,209.02
"Dec 11, 2020",205,208,198.93,203.33
"Dec 14, 2020",206.33,214.25,203.4,213.28
"Dec 15, 2020",214.43,215.63,207.93,211.08
"Dec 16, 2020",209.41,210.83,201.67,207.59
"Dec 17, 2020",209.4,219.61,206.5,218.63
"Dec 18, 2020",222.97,231.67,209.51,231.67
"Dec 21, 2020",222.08,222.83,215.36,216.62
"Dec 22, 2020",216,216.63,204.74,213.45
"Dec 23, 2020",210.73,217.17,207.52,215.33
"Dec 24, 2020",214.33,222.03,213.67,220.59
"Dec 28, 2020",224.84,227.13,220.27,221.23
"Dec 29, 2020",220.33,223.3,218.33,222
"Dec 30, 2020",224,232.2,222.79,231.59
"Dec 31, 2020",233.33,239.57,230.37,235.22
"Jan 4, 2021",239.82,248.16,239.06,243.26
"Jan 5, 2021",241.22,246.95,239.73,245.04
"Jan 6, 2021",252.83,258,249.7,251.99
"Jan 7, 2021",259.21,272.33,258.4,272.01
"Jan 8, 2021",285.33,294.83,279.46,293.34
